Model Year,Make,Model,Electric Range
2024,ACURA,ZDX,307
2023,AUDI,Q4,236
2021,AUDI,E-TRON,222
2022,AUDI,E-TRON GT,238
2022,AUDI,E-TRON,222
2022,AUDI,Q4,241
2025,AUDI,Q6,300
2023,AUDI,E-TRON GT,249
2022,AUDI,E-TRON SPORTBACK,218
2024,AUDI,SQ8,253
2024,AUDI,Q8,300
2023,AUDI,E-TRON,225
2021,AUDI,E-TRON SPORTBACK,218
2024,AUDI,E-TRON GT,254
2024,AUDI,RS E-TRON GT,249
2022,AUDI,RS E-TRON GT,232
2023,AUDI,RS E-TRON GT,232
2025,AUDI,RS E-TRON GT,249
2025,AUDI,SQ6,280
2024,BMW,I4,252
2022,BMW,IX,324
2025,BMW,I5,270
2023,BMW,I4,256
2022,BMW,I4,227
2024,BMW,IX,307
2023,BMW,IX,288
2025,BMW,I4,252
2025,BMW,IX,307
2024,BMW,I5,240
2024,BMW,I7,301
2023,BMW,I7,300
2021,BMW,I3,153
2024,BRIGHTDROP,ZEVO,250
2023,BRIGHTDROP,ZEVO,250
2024,CADILLAC,LYRIQ,307
2025,CADILLAC,OPTIQ,300
2025,CADILLAC,LYRIQ,307
2023,CADILLAC,LYRIQ,312
2022,CHEVROLET,BOLT EUV,247
2023,CHEVROLET,BOLT EUV,247
2024,CHEVROLET,EQUINOX EV,250
2024,CHEVROLET,SILVERADO EV,450
2021,CHEVROLET,BOLT EV,259
2024,CHEVROLET,BLAZER EV,279
2023,CHEVROLET,BOLT EV,259
2022,CHEVROLET,BOLT EV,259
2025,CHEVROLET,SILVERADO EV,400
2025,CHEVROLET,EQUINOX EV,250
2025,CHEVROLET,BLAZER EV,279
2025,CHEVROLET,BRIGHTDROP 400,250
2024,DODGE,CHARGER,250
2025,DODGE,CHARGER,250
2024,FIAT,500E,149
2023,FISKER,OCEAN,231
2023,FORD,F-150,240
2021,FORD,MUSTANG MACH-E,211
2022,FORD,TRANSIT,126
2023,FORD,MUSTANG MACH-E,224
2022,FORD,F-150,230
2024,FORD,F-150,240
2024,FORD,MUSTANG MACH-E,250
2023,FORD,TRANSIT,126
2022,FORD,MUSTANG MACH-E,224
